eval_set,range,n,new_mean,old_mean,delta,ci_low,ci_high
eval-val,all,97,0.2669077058698286,0.24771644329033637,0.019191262579492198,0.01321979081282134,0.02536810443640672
eval-val,long,97,0.22459054178826107,0.20733489397146512,0.017255647816796033,0.010537790659066935,0.024004797216098425
eval-test,all,217,0.27704102664309804,0.2540471752645422,0.02299385137855584,0.01847743478797826,0.027712382617155137
eval-test,long,217,0.2248035722470722,0.20423244128099577,0.020571130966076472,0.0153404551396585,0.0260816126176133
eval-denovo,all,19,0.5248949266051062,0.5052726722207244,0.019622254384381747,-0.0010137342040744172,0.039590658923029966
eval-denovo,long,19,0.4664194247352306,0.43712679933182885,0.029292625403401724,0.0038755581540866396,0.06185175429701582
