eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-denovo,long,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.9609540812656355,0.9510462216543374,0.009907859611298031,-0.008145443045682585,0.028691162163374317
eval-denovo,long,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.9609540812656355,0.9522777617997157,0.008676319465919898,-0.00822078220172546,0.026806774669850403
eval-denovo,long,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.9609540812656355,0.9553213531119651,0.005632728153670383,-0.011738952756784785,0.02270135032051505
eval-denovo,long,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.3110005460928024,0.3549753929616026,-0.0439748468688001,-0.07383569095871942,-0.01650642607560097
eval-denovo,long,L,marinfold-exp232-decontam-m1-p02-step145199,19,0.3110005460928024,0.3619474166160092,-0.050946870523206796,-0.083332518954206,-0.019783127440505158
eval-denovo,long,L,marinfold-exp199-cw-p06-cool-step290400,19,0.3110005460928024,0.3609132960413365,-0.04991274994853405,-0.08679546826993613,-0.017924430522824424
eval-denovo,long,L/2,marinfold-exp232-decontam-m2-p06-step145199,19,0.4547814193091754,0.5092282394150175,-0.05444682010584193,-0.0998033592655856,-0.002214548124137896
eval-denovo,long,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.4547814193091754,0.526421285227745,-0.07163986591856955,-0.11947505694614358,-0.023343913649420636
eval-denovo,long,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.4547814193091754,0.5336581883900564,-0.07887676908088093,-0.13371325985571506,-0.02702608171006809
eval-denovo,long,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.6319278333337128,0.685130710310392,-0.05320287697667913,-0.10481977470811743,0.0031130338652728155
eval-denovo,long,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.6319278333337128,0.6916077134638975,-0.05967988013018475,-0.12084847041211147,0.007278805964823072
eval-denovo,long,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.6319278333337128,0.7029632036521319,-0.07103537031841922,-0.11611302220046023,-0.02270558795247911
eval-denovo,long,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.4664194247352306,0.5489256295770376,-0.08250620484180701,-0.13204611322841248,-0.027760766205229003
eval-denovo,long,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.4664194247352306,0.5481940978167771,-0.0817746730815465,-0.12974168159547023,-0.034578706992382954
eval-denovo,long,R,marinfold-exp199-cw-p06-cool-step290400,19,0.4664194247352306,0.5726387157407324,-0.10621929100550179,-0.16065587291171157,-0.05308215497142133
eval-denovo,medium,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.9845611699333817,0.9850692957557668,-0.0005081258223849959,-0.006119988340589419,0.005933697535975
eval-denovo,medium,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.9845611699333817,0.9841819406980472,0.00037922923533458653,-0.005669447544729856,0.00784636635530492
eval-denovo,medium,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.9845611699333817,0.9834397078185254,0.0011214621148562852,-0.005785629005094188,0.009037621668739896
eval-denovo,medium,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.16529481744998717,0.1706016746384286,-0.005306857188441432,-0.013337779242434856,-0.00033055093864532746
eval-denovo,medium,L,marinfold-exp232-decontam-m1-p02-step145199,19,0.16529481744998717,0.17148525915876867,-0.0061904417087815106,-0.014186458972900192,-0.001163440690081519
eval-denovo,medium,L,marinfold-exp199-cw-p06-cool-step290400,19,0.16529481744998717,0.17005127904159337,-0.004756461591606201,-0.012535683683422274,0.00017266970927501746
eval-denovo,medium,L/2,marinfold-exp232-decontam-m2-p06-step145199,19,0.3001514575204845,0.32434137775586946,-0.02418992023538484,-0.0518680936319313,-0.005153827476511795
eval-denovo,medium,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.3001514575204845,0.32031396583794775,-0.020162508317463218,-0.05311608193116957,0.004725476917075188
eval-denovo,medium,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.3001514575204845,0.3257744902850888,-0.025623032764604287,-0.0555238794347674,-0.004689743834296947
eval-denovo,medium,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.5535847726852432,0.5805048702695688,-0.026920097584325717,-0.08513329286665862,0.012475226730059297
eval-denovo,medium,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.5535847726852432,0.5625369972948849,-0.008952224609641731,-0.06433694224975627,0.042654092126868874
eval-denovo,medium,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.5535847726852432,0.5982044289354381,-0.044619656250194845,-0.10583211855249355,-0.004771729213384345
eval-denovo,medium,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.6290799456864975,0.6644382411293609,-0.035358295442863355,-0.10712048826250783,0.02544999463955744
