comparison,metric,mean_difference,ci95_low,ci95_high,protein_win_fraction
G1-L2 - G1,oracle_r_precision,0.0008679102584846521,-0.005542513420526249,0.007265356168085518,0.5154639175257731
G1-L2 - G1,oracle_long_r_precision,0.0020054024729461053,-0.008942003660555914,0.013824502462826422,0.4845360824742268
G1-L2 - G1,mean_r_precision,0.0010170397877119117,-0.0026403749983994157,0.004896829448957921,0.5051546391752577
G1-L2 - G1,consensus_r_precision,0.004439317624950478,-0.002839181222544268,0.01191445892980277,0.5051546391752577
G1-U2 - G1,oracle_r_precision,-0.00019469495037798435,-0.006556069033668976,0.006161513655124386,0.5257731958762887
G1-U2 - G1,oracle_long_r_precision,-0.009619065012919398,-0.021583430425040843,0.0014729098615670166,0.4329896907216495
G1-U2 - G1,mean_r_precision,-0.0027116663202037517,-0.005190738921898308,-0.00033587094650297625,0.38144329896907214
G1-U2 - G1,consensus_r_precision,0.002530047719068635,-0.0031254002875109005,0.0080577727718981,0.5567010309278351
