eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-denovo,medium,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.2979757863813958,0.32031396583794775,-0.02233817945655198,-0.052733732887795245,-0.00024320824353899138
eval-denovo,medium,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.2979757863813958,0.3257744902850888,-0.027798703903693055,-0.05492359177998063,-0.00814893835305528
eval-denovo,medium,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.5700051414592171,0.5805048702695688,-0.010499728810351891,-0.04961470195133714,0.027675177918559515
eval-denovo,medium,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.5700051414592171,0.5625369972948849,0.007468144164332092,-0.029438937717502917,0.0451337318295418
eval-denovo,medium,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.5700051414592171,0.5982044289354381,-0.028199287476221017,-0.05893349638141974,0.001122032563864464
eval-denovo,medium,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.6412738350023508,0.6644382411293609,-0.023164406127010054,-0.08792739710113634,0.05000839997471264
eval-denovo,medium,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.6412738350023508,0.6666440278892976,-0.025370192886946787,-0.08524663319777438,0.035257501040049474
eval-denovo,medium,R,marinfold-exp199-cw-p06-cool-step290400,19,0.6412738350023508,0.6838524343154223,-0.04257859931307156,-0.0964206118728268,0.00915125038875193
eval-denovo,short,AUC,marinfold-exp232-decontam-m2-p06-step145199,19,0.9842136025168315,0.9862511814790915,-0.0020375789622602294,-0.00998762475056204,0.008430984212903428
eval-denovo,short,AUC,marinfold-exp232-decontam-m1-p02-step145199,19,0.9842136025168315,0.9899099712791711,-0.005696368762339733,-0.01041705406461386,-0.0015760733533551024
eval-denovo,short,AUC,marinfold-exp199-cw-p06-cool-step290400,19,0.9842136025168315,0.9881038372894593,-0.003890234772627814,-0.011288892340813277,0.005941179480851415
eval-denovo,short,L,marinfold-exp232-decontam-m2-p06-step145199,19,0.10819997553833288,0.10791616109494444,0.00028381444338841617,-0.001033093808291877,0.001715459594000801
eval-denovo,short,L,marinfold-exp232-decontam-m1-p02-step145199,19,0.10819997553833288,0.10815468748862009,4.528804971276904e-05,-0.0010899028687598792,0.0009998804129738596
eval-denovo,short,L,marinfold-exp199-cw-p06-cool-step290400,19,0.10819997553833288,0.10814204769986879,5.7927838464089476e-05,-0.001315789473684206,0.0014895729890764744
eval-denovo,short,L/2,marinfold-exp232-decontam-m2-p06-step145199,19,0.20934877875849184,0.2132879287477784,-0.003939149989286565,-0.012999283197839264,0.00288232330154819
eval-denovo,short,L/2,marinfold-exp232-decontam-m1-p02-step145199,19,0.20934877875849184,0.21463385888163158,-0.005285080123139744,-0.013523421701157739,0.0006412761273374861
eval-denovo,short,L/2,marinfold-exp199-cw-p06-cool-step290400,19,0.20934877875849184,0.2152907029792181,-0.0059419242207262276,-0.014756789579226487,0.0008274345785834783
eval-denovo,short,L/5,marinfold-exp232-decontam-m2-p06-step145199,19,0.4161960288851276,0.4790950192970442,-0.06289899041191678,-0.11259477305463127,-0.022052972526957846
eval-denovo,short,L/5,marinfold-exp232-decontam-m1-p02-step145199,19,0.4161960288851276,0.46990501211534746,-0.053708983230219845,-0.10553634164825797,-0.009206665128314789
eval-denovo,short,L/5,marinfold-exp199-cw-p06-cool-step290400,19,0.4161960288851276,0.4787646612381544,-0.06256863235302684,-0.11139818238311669,-0.021434479034949064
eval-denovo,short,R,marinfold-exp232-decontam-m2-p06-step145199,19,0.5869377949598662,0.6463293748947398,-0.059391579934873664,-0.12500522162236935,0.007784198092984139
eval-denovo,short,R,marinfold-exp232-decontam-m1-p02-step145199,19,0.5869377949598662,0.6378740827807041,-0.05093628782083792,-0.11636784468596863,0.017991746922667938
eval-denovo,short,R,marinfold-exp199-cw-p06-cool-step290400,19,0.5869377949598662,0.6806879233449692,-0.09375012838510292,-0.14600238376978622,-0.04270946948260193
eval-test,all,AUC,marinfold-exp232-decontam-m2-p06-step145199,217,0.8920626901065897,0.9389570841307029,-0.04689439402411322,-0.05582974564535016,-0.03825781295645167
eval-test,all,AUC,marinfold-exp232-decontam-m1-p02-step145199,217,0.8920626901065897,0.9254395375781069,-0.03337684747151736,-0.04288109559684168,-0.024056748754712826
eval-test,all,AUC,marinfold-exp199-cw-p06-cool-step290400,217,0.8920626901065897,0.9583553369141693,-0.06629264680757976,-0.07444666623457458,-0.05789579794450966
eval-test,all,L,marinfold-exp232-decontam-m2-p06-step145199,217,0.24613136365967844,0.5172373894738312,-0.27110602581415283,-0.2945451937144004,-0.24644001750436356
eval-test,all,L,marinfold-exp232-decontam-m1-p02-step145199,217,0.24613136365967844,0.4754255405907409,-0.22929417693106244,-0.25329922178458486,-0.2049891397423805
eval-test,all,L,marinfold-exp199-cw-p06-cool-step290400,217,0.24613136365967844,0.590740787285318,-0.3446094236256397,-0.3694259988164504,-0.3188620541855269
eval-test,all,L/2,marinfold-exp232-decontam-m2-p06-step145199,217,0.3366405726422237,0.6901647260742865,-0.35352415343206284,-0.3840294405311195,-0.321238738600205
eval-test,all,L/2,marinfold-exp232-decontam-m1-p02-step145199,217,0.3366405726422237,0.6362885747562919,-0.2996480021140681,-0.33117618790579767,-0.26709929153412565
eval-test,all,L/2,marinfold-exp199-cw-p06-cool-step290400,217,0.3366405726422237,0.7735435746032027,-0.436903001960979,-0.46690676480367854,-0.4058740417059624
eval-test,all,L/5,marinfold-exp232-decontam-m2-p06-step145199,217,0.4627875433260697,0.8142276828712952,-0.35144013954522546,-0.3853409679892065,-0.316893925838078
eval-test,all,L/5,marinfold-exp232-decontam-m1-p02-step145199,217,0.4627875433260697,0.7680752205225999,-0.30528767719653016,-0.3404449787199584,-0.2700305950787036
eval-test,all,L/5,marinfold-exp199-cw-p06-cool-step290400,217,0.4627875433260697,0.8759833924095445,-0.4131958490834747,-0.4476557993215389,-0.3792964428436309
eval-test,all,R,marinfold-exp232-decontam-m2-p06-step145199,217,0.2540471752645422,0.5376552851103137,-0.2836081098457715,-0.30831067124915323,-0.2593820700986586
eval-test,all,R,marinfold-exp232-decontam-m1-p02-step145199,217,0.2540471752645422,0.49309655879073966,-0.2390493835261974,-0.26227511860074376,-0.21582764776890068
eval-test,all,R,marinfold-exp199-cw-p06-cool-step290400,217,0.2540471752645422,0.6131841080469917,-0.35913693278244957,-0.38382231021329394,-0.33446794315288825
eval-test,long,AUC,marinfold-exp232-decontam-m2-p06-step145199,217,0.8761835756881481,0.9298624773573143,-0.053678901669166265,-0.06478273948071682,-0.04256351776385331
eval-test,long,AUC,marinfold-exp232-decontam-m1-p02-step145199,217,0.8761835756881481,0.9130539761142972,-0.03687040042614918,-0.04873368865864176,-0.02555529921962711
eval-test,long,AUC,marinfold-exp199-cw-p06-cool-step290400,217,0.8761835756881481,0.9519957573481979,-0.07581218166005003,-0.08603136614346359,-0.06540918146554585
eval-test,long,L,marinfold-exp232-decontam-m2-p06-step145199,217,0.16118920315640597,0.3898317273452832,-0.22864252418887718,-0.2512389789596455,-0.2058340109003962
eval-test,long,L,marinfold-exp232-decontam-m1-p02-step145199,217,0.16118920315640597,0.3574819267627481,-0.19629272360634215,-0.2179598272393894,-0.17449354327115793
eval-test,long,L,marinfold-exp199-cw-p06-cool-step290400,217,0.16118920315640597,0.4485222621445018,-0.2873330589880958,-0.31005143020315257,-0.263277027751002
eval-test,long,L/2,marinfold-exp232-decontam-m2-p06-step145199,217,0.22373852192723193,0.5719806661386507,-0.34824214421141886,-0.3791227578715001,-0.31756886553068964
eval-test,long,L/2,marinfold-exp232-decontam-m1-p02-step145199,217,0.22373852192723193,0.5194522036612177,-0.2957136817339857,-0.3265419361284398,-0.26373661730059983
